레벨,SP 증가,누적 SP
1,2,2
2,20,22
3,69,91
4,195,286
5,249,535
6,354,889
7,485,"1,374"
8,640,"2,014"
9,825,"2,839"
10,"1,040","3,879"
11,"1,280","5,159"
12,"1,540","6,699"
13,"1,820","8,519"
14,"2,120","10,639"
15,"2,440","13,079"
16,"2,780","15,859"
17,"3,140","18,999"
18,"3,520","22,519"
19,"3,920","26,439"
20,"4,340","30,779"
21,"4,780","35,559"
22,"5,240","40,799"
23,"5,720","46,519"
24,"6,220","52,739"
25,"6,740","59,479"
26,"7,280","66,759"
27,"7,840","74,599"
28,"8,420","83,019"
29,"9,020","92,039"
30,"9,640","101,679"
31,"10,280","111,959"
32,"10,940","122,899"
33,"11,620","134,519"
34,"12,320","146,839"
35,"13,040","159,879"
36,"13,780","173,659"
37,"14,540","188,199"
38,"15,320","203,519"
39,"16,120","219,639"
40,"16,940","236,579"
41,"1,000,000","1,236,579"
42,"2,000,000","3,236,579"
43,"3,000,000","6,236,579"
44,"4,000,000","10,236,579"
45,"5,000,000","15,236,579"
46,"10,000,000","25,236,579"
47,"20,000,000","45,236,579"
48,"30,000,000","75,236,579"
49,"40,000,000","115,236,579"
50,"50,000,000","165,236,579"
51,"100,000,000","265,236,579"
52,"100,000,000","365,236,579"
53,"100,000,000","465,236,579"
54,"100,000,000","565,236,579"
55,"100,000,000","665,236,579"
56,"100,000,000","765,236,579"
57,"100,000,000","865,236,579"
58,"100,000,000","965,236,579"
59,"100,000,000","1,065,236,579"
60,"100,000,000","1,165,236,579"
61,"100,000,000","1,265,236,579"
62,"100,000,000","1,365,236,579"
63,"100,000,000","1,465,236,579"
64,"100,000,000","1,565,236,579"
65,"100,000,000","1,665,236,579"
66,"100,000,000","1,765,236,579"
67,"100,000,000","1,865,236,579"
68,"100,000,000","1,965,236,579"
69,"100,000,000","2,065,236,579"
70,"100,000,000","2,165,236,579"
71,"100,000,000","2,265,236,579"
72,"100,000,000","2,365,236,579"
73,"100,000,000","2,465,236,579"
74,"100,000,000","2,565,236,579"
75,"100,000,000","2,665,236,579"
76,"100,000,000","2,765,236,579"
77,"100,000,000","2,865,236,579"
78,"100,000,000","2,965,236,579"
79,"100,000,000","3,065,236,579"
80,"100,000,000","3,165,236,579"
81,"100,000,000","3,265,236,579"
82,"100,000,000","3,365,236,579"
83,"100,000,000","3,465,236,579"
84,"100,000,000","3,565,236,579"
85,"100,000,000","3,665,236,579"
86,"100,000,000","3,765,236,579"
87,"100,000,000","3,865,236,579"
88,"100,000,000","3,965,236,579"
89,"100,000,000","4,065,236,579"
90,"100,000,000","4,165,236,579"
91,"100,000,000","4,265,236,579"
92,"100,000,000","4,365,236,579"
93,"100,000,000","4,465,236,579"
94,"100,000,000","4,565,236,579"
95,"100,000,000","4,665,236,579"
96,"100,000,000","4,765,236,579"
97,"100,000,000","4,865,236,579"
98,"100,000,000","4,965,236,579"
